R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.718544341,3.815089546,3.990964517,4.064988358,4.514846658,4.480510478,16,57.36,0.52,71.3019
3.721511096,3.814153005,3.987987854,4.061017285,4.53048455,4.490316017,16,59.39,0.53,71.3145
3.722167627,3.866793415,4.021152823,4.097089835,4.528497251,4.503772176,16,58.65,0.5,69.0333
3.724131246,3.850122804,3.978745681,4.060589659,4.48970811,4.472041118,16,58.97,0.56,73.9263
3.726627535,3.830014229,4.012640357,4.082354136,4.504760306,4.470820171,16,59.3,0.48,66.9336
3.726627535,3.821163668,3.988905905,4.057907397,4.514125325,4.481827242,16,58.65,0.4,59.1236
3.735836269,3.815952222,3.986699279,4.057763877,4.509312621,4.47696173,16,57.32,0.52,71.3184
3.741938386,3.842623224,4.013247764,4.087612258,4.536100156,4.493689503,16,59.66,0.5,68.6005
3.787800361,3.865898104,4.023064441,4.094492488,4.516764349,4.478342319,16,56.03,0.53,72.6737
3.599555191,3.792036005,3.980946326,4.06105292,4.506437301,4.481529123,17,60,0.41,59.5132
3.61297627,3.75811417,3.95753527,4.029251608,4.469932157,4.434907316,17,58.37,0.45,64.4941
3.618147318,3.813647891,3.961607202,4.045904545,4.477619503,4.454552821,17,61.88,0.5,67.6503
3.634640637,3.833545947,3.999550374,4.07843678,4.514699811,4.485614747,17,57.7,0.43,62.8158
3.638104359,3.835060628,3.985591703,4.063078265,4.473352515,4.453581093,17,60.69,0.46,64.3839
3.667350469,3.820311293,3.956696518,4.034621564,4.454643023,4.4306287,17,59.42,0.51,69.5871
3.670686963,3.838278896,3.99622654,4.068643521,4.487411023,4.455950557,17,58.13,0.54,72.6464
3.676069801,3.826593749,3.985961223,4.065975461,4.507470256,4.480914697,17,57.86,0.42,61.6992
3.678857272,3.793777872,3.989135137,4.066819766,4.513563468,4.476642532,17,54.88,0.52,72.3271
3.685213196,3.874141627,4.029793906,4.107870458,4.495621566,4.47259657,17,58.33,0.52,70.902
3.711766174,3.816382919,3.99405689,4.074621904,4.517945407,4.489386714,17,57.38,0.49,68.694
3.712996294,3.852902087,3.988905905,4.061871312,4.474891705,4.448954289,17,58.88,0.39,57.8688
3.71721926,3.839845142,3.996361795,4.071503948,4.488064529,4.459323829,17,60.23,0.5,68.3564
3.720304852,3.807979296,3.965834748,4.034697257,4.460657131,4.430332757,17,57.83,0.42,61.7146
3.72964723,3.834372794,3.977664716,4.055677461,4.475768823,4.451856506,17,58,0.51,70.1835
3.732539309,3.845047961,4.002048855,4.074552859,4.479549219,4.450125044,17,58.91,0.47,66.1716
3.776467397,3.858342719,3.988951761,4.070982094,4.501014868,4.479119157,17,59.14,0.33,50.214
3.571246037,3.758524215,3.926112037,4.010696556,4.433806199,4.408766312,18,57.97,0.47,66.6008
3.579524391,3.794533043,3.979214867,4.055605338,4.479100215,4.449540046,18,58.19,0.43,62.5708
3.584656893,3.778313797,3.972123796,4.054232717,4.492260354,4.466501482,18,57.93,0.4,59.5111
3.611003478,3.790591766,3.963896148,4.048808293,4.478520136,4.458529203,18,57.43,0.45,64.9428
3.625175597,3.806146673,3.973456284,4.057404871,4.470952228,4.453599808,18,58.47,0.34,51.9862
3.63650915,3.793929018,3.950128246,4.029787768,4.470523813,4.444105602,18,59.06,0.5,68.8576
3.65104592,3.838483522,3.986699279,4.067206211,4.483454875,4.463476427,18,58.61,0.53,71.6294
